Context,Question,Label
ছয় দফা ম্যান্ডেট নিয়ে পাকিস্তানে ১৯৭০ সালের ৭ ডিসেম্বর সর্বপ্রথম অনুষ্ঠিত হয়। সাধারণ নির্বাচনে পূর্ব পাকিস্তানের রাজনৈতিক দল একক সংখ্যাগরিষ্ঠতা নিয়ে জয়লাভ করে আওয়ামী লীগ। পাকিস্তানের জাতীয় পরিষদে সংখ্যাগরিষ্ঠ দল হিসেবে তার উত্তরণ ঘটে। জনগণ প্রত্যাশা করেছিল নির্বাচিত রাজনৈতিক দল আওয়ামী লীগ সরকার গঠন করে পূর্ব পাকিস্তানের দীর্ঘদিনের বঞ্চনার ইতিহাসের গতি পাল্টাবেন। পাকিস্তানের শাসকবর্গ-কিছু রাজনৈতিক নেতা এবং কিছু সামরিক কর্মকর্তা-ষড়যন্ত্রের গ্রন্থিগুলো এমনভাবে বিন্যস্ত করেন যেন শাসন ক্ষমতা কোনক্রমে বাঙ্গালীর হস্তগত না হয়। পূর্ব পাকিস্তানের জনগণ তা সঠিকভাবে অনুধাবন করেন।,কোথাকার জনগণ তা প্রাসঙ্গিকভাবে অনুধাবন করেন?,প্রাসঙ্গিক
ছয় দফা ম্যান্ডেট নিয়ে পাকিস্তানে ১৯৭০ সালের ৭ ডিসেম্বর সর্বপ্রথম অনুষ্ঠিত হয়। সাধারণ নির্বাচনে পূর্ব পাকিস্তানের রাজনৈতিক দল একক সংখ্যাগরিষ্ঠতা নিয়ে জয়লাভ করে আওয়ামী লীগ। পাকিস্তানের জাতীয় পরিষদে সংখ্যাগরিষ্ঠ দল হিসেবে তার উত্তরণ ঘটে। জনগণ প্রত্যাশা করেছিল নির্বাচিত রাজনৈতিক দল আওয়ামী লীগ সরকার গঠন করে পূর্ব পাকিস্তানের দীর্ঘদিনের বঞ্চনার ইতিহাসের গতি পাল্টাবেন। পাকিস্তানের শাসকবর্গ-কিছু রাজনৈতিক নেতা এবং কিছু সামরিক কর্মকর্তা-ষড়যন্ত্রের গ্রন্থিগুলো এমনভাবে বিন্যস্ত করেন যেন শাসন ক্ষমতা কোনক্রমে বাঙ্গালীর হস্তগত না হয়। পূর্ব পাকিস্তানের জনগণ তা সঠিকভাবে অনুধাবন করেন।,বাংলাদেশ কত তারিখে স্বাধীন হয় ?,অপ্রাসঙ্গিক
ছয় দফা ম্যান্ডেট নিয়ে পাকিস্তানে ১৯৭০ সালের ৭ ডিসেম্বর সর্বপ্রথম অনুষ্ঠিত হয়। সাধারণ নির্বাচনে পূর্ব পাকিস্তানের রাজনৈতিক দল একক সংখ্যাগরিষ্ঠতা নিয়ে জয়লাভ করে আওয়ামী লীগ। পাকিস্তানের জাতীয় পরিষদে সংখ্যাগরিষ্ঠ দল হিসেবে তার উত্তরণ ঘটে। জনগণ প্রত্যাশা করেছিল নির্বাচিত রাজনৈতিক দল আওয়ামী লীগ সরকার গঠন করে পূর্ব পাকিস্তানের দীর্ঘদিনের বঞ্চনার ইতিহাসের গতি পাল্টাবেন। পাকিস্তানের শাসকবর্গ-কিছু রাজনৈতিক নেতা এবং কিছু সামরিক কর্মকর্তা-ষড়যন্ত্রের গ্রন্থিগুলো এমনভাবে বিন্যস্ত করেন যেন শাসন ক্ষমতা কোনক্রমে বাঙ্গালীর হস্তগত না হয়। পূর্ব পাকিস্তানের জনগণ তা সঠিকভাবে অনুধাবন করেন।,পূর্ব পাকিস্তানের কারা তা প্রাসঙ্গিকভাবে অনুধাবন করেন?,প্রাসঙ্গিক
ছয় দফা ম্যান্ডেট নিয়ে পাকিস্তানে ১৯৭০ সালের ৭ ডিসেম্বর সর্বপ্রথম অনুষ্ঠিত হয়। সাধারণ নির্বাচনে পূর্ব পাকিস্তানের রাজনৈতিক দল একক সংখ্যাগরিষ্ঠতা নিয়ে জয়লাভ করে আওয়ামী লীগ। পাকিস্তানের জাতীয় পরিষদে সংখ্যাগরিষ্ঠ দল হিসেবে তার উত্তরণ ঘটে। জনগণ প্রত্যাশা করেছিল নির্বাচিত রাজনৈতিক দল আওয়ামী লীগ সরকার গঠন করে পূর্ব পাকিস্তানের দীর্ঘদিনের বঞ্চনার ইতিহাসের গতি পাল্টাবেন। পাকিস্তানের শাসকবর্গ-কিছু রাজনৈতিক নেতা এবং কিছু সামরিক কর্মকর্তা-ষড়যন্ত্রের গ্রন্থিগুলো এমনভাবে বিন্যস্ত করেন যেন শাসন ক্ষমতা কোনক্রমে বাঙ্গালীর হস্তগত না হয়। পূর্ব পাকিস্তানের জনগণ তা সঠিকভাবে অনুধাবন করেন।,শহীদ বুদ্ধিজীবী দিবস কত তারিখে পালিত হয় ?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,কি প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,মুক্তিবাহিনী কাদের নিয়ে গঠিত হয় ?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,পাকিস্তান প্রতিষ্ঠার পর থেকে কোথাকার জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,কত জন সেক্টর কমান্ডার এর নেতৃত্বে  মুক্তিবাহিনী  পরিচালিত হয় ?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের কারা বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,১৯৭১ খ্রিষ্টাব্দের কত তারিখে ভারত আনুষ্ঠানিক ভাবে যুদ্ধে অংশগ্রহণ করে ?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ কোনটিকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,গণঅভ্যুত্থান কত সালে হয় ?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম কি করার দাবি জানিয়ে আসছলি?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,কত সালে মধ্যে বাংলাদেশকে স্বাধীন ও সার্বভৌম রাষ্ট্র হিসাবে স্বীকৃতি দেওয়া হয় ?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,কোন সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,বাংলাদেশের অস্থায়ী সরকারের সদস্য সংখ্যা কত ছিল?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,পাকিস্তান সরকার কিসের সম্পূর্ণ বিরোধিতা করে?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,বাংলাদেশের অস্থায়ী সরকারের রাজধানী কোথায় ছিল?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ কি করে?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,কোন নেতা নির্বাচিত দলের কাছে ক্ষমতা হস্তান্তর বানচাল করতে ইয়াহিয়া খানের সাথে ষড়যন্ত্র করেন?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,কত সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,মুক্তিবাহিনী কবে গঠিত হয়?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,১৯৪৮ সালেই কাকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,মুক্তিযুদ্ধ চলা কালে সমগ্র বাংলাদেশকে কয়টি সেক্টরে ভাগ করা হয়েছিল ?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,১৯৪৮ সালেই উর্দুকে একমাত্র কি ভাষা হিসেবে ঘোষণা করে?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,কোন সেক্টরে নিয়মিত কোন সেক্টর কমান্ডার ছিল না ?,অপ্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে কি করে?,প্রাসঙ্গিক
পাকিস্তান প্রতিষ্ঠার পর থেকে পূর্ব পাকিস্তানের জনগণ বাংলাকে অন্যতম রাষ্ট্রভাষা করার দাবি জানিয়ে আসছলি। পাকিস্তান সরকার এ যৌক্তিক দাবির সম্পূর্ণ বিরোধিতা করে। ১৯৪৮ সালেই উর্দুকে একমাত্র সরকারি ভাষা হিসেবে ঘোষণা করে। এই সিদ্ধান্তের বিরুদ্ধে ক্রমবর্ধমান প্রতিবাদ চলতে থাকে যা পরবর্তীতে ভাষা আন্দোলন নামে পরিচিতি লাভ করে। ভাষা আন্দোলন পুনরুজ্জীবিত হয় ১৯৫২ সালে এবং সেই বছরের ২১ ফেব্রুয়ারি ভাষার দাবিতে ঢাকা বিশববিদ্যালয় প্রাঙ্গনে ছাত্ররা একত্রিত হয়।,স্বাধীনতা যুদ্ধে কত জন বীরশ্রেষ্ঠ উপাধি লাভ করেন?,অপ্রাসঙ্গিক
